Text,Year,Sale
"Rogers Peet End-of-Season  Clean-up Suits Topcoats  Claims of advertisers are sometimes very confusing! Experience alone shows what to scratch out. The safe way is to buy on reputation. In our current End-of-Season Clean-up what they were tells exactly what they are _ and money back backsem same as at regular prices. Why not? Reducing the price for a seasons closeout can take nothing from their style-smartness, their quality or their hand-tailoring. All from our regular stock. All our own manufacture. SUITS Savings up to thirty dollars. 624 were $65  270 were $60  641 were $55  596 were $50  507 were $45 $35 now. TOPCOATS Savings up to thirty dollars. 170 were $65  431 were $55  146 were $50  327 were $45 $35 now. Odds and ends of shirts, neckties, underwear, pajamas, socks and felt hats radically reduced for quick clearance! Rogers Peet Company  A Sure Winner: Kentucky Bred Whiskey PARK & TILFORD KENTUCKY BRED STRAIGHT WHISKEY $1.19 A PINT PARK & TILFORD   38 FEET, LEAD KEEL, SLOOR CABIN; new Marconi rig and sails; A1 condition. Inquire City Island Yacht Club. ",1935,1
"280 FEED OF SHARPENING SURFACE Edge each Gillette Blue Blade as it passes 1 through the giant Gillette grinders. No wonder this blade is incredibly keen and smooth-shovingã so sharp that its cutting edges are positively invisible! Try them!  Reputable marchants give you what you ask for. In stores where substitution is practised _ Insist on Gillette Blue Blades  DAVEGA Once_A_Year GOLF CLEARANCE 4,200 Nationally Famous (ODDS and ENDS) Steel Shafted Golf Clubs Including Such Famous Makes as Macgregor Wilson Schavolite Beekley Ralston  Your Choice $1.44 each Although these clubs are odds and ends from previous sales we could sell them for much more, because every club is new and guaranteed perfect. All steel shafted _ some true temper _ some sheath covered. All irons have forged, chromium plated steel heads. Woods have plain and fancy faces. Rights and lefts. Still a good assortment to choose from. IRONSWOODS 315 Were $6.00620...Were $8.00 1120 Were $5.00315...Were $7.00  850 Were $4.00400...Were $5.00  925 Were $3.00425...Were $3.50 DAVEGA SALE NEW 1935 GOLF BALLS. Regularly $3.00  ",1935,1
"WITTY BROTHERS  Makers of fine clothes since 1888  SEMI-ANNUAL  Clearance here is a value  opportunity you've been  waiting for. Nowãyou  can enjoy substantial  savings on the most  vibrantly styled and finest  fitting clothes our  celebrated workrooms  have ever produced!  LUXURIOUS HAND-TAILORED  suits . topcoats overcoats  REG. $100 and $110 ... $79.50 REG. $115 and $125 ... $89.5ç REG. $135 and $140 ... $99.50      REG. $175 OUTERCOATS OF 100% CASHMERE  $139.50  REG. $65 and $75 HAND-CRAFTED SPORT COATS  $54.50  REG. $20 TO $35 LUXURY SPORT SLACKS . . 20% Off  NO CHARGE FOR .ALTERATIONS « AND AS ALWAYS- NO SALES FINAL  Dress Rightã you can't afford not to  724 FIFTH AVENUE, bet. 56th & 57th*  550 FIFTH AVENUE, bet. 45th & 46th.  ON BROADWAY at 38th*  50 ELDRIDGE STREET  1520 PITKIN AVE., BROOKLYN  ""Open Thursday Evenings P.M.  ",1956,1
"MACYS LONG ISLAND CITY GIANT WAREHOUSE CLEARANCE & SALE FRIDAY, AUGUST 3RD, FROM 3 TO 9, AND ALL DAY SATURDAY, AUGUST 4TH, FROM 9 TO 5 Macys two Long Island City Warehouses are wall-to-wall Zenith, RCA, Magnavox, Sylvania and so many more. We with tremendous bargains from such famous makers as Burris, list only a few of the choice values you'll find at Macys StratoloungerÂ, Sealy, Fedders, Westinghouse, General warehouses in Long Island City. Electric, Philco, Carrier, Maytag, Magic Chef, Hoover, SALE OF FAMOUS AIR CONDITIONERS, VACUUMS, MAJOR APPLIANCES REDUCED 10% to 40% Air-conditioners by Fedders, Westinghouse, General Electric, Philco, Carrier Washers, dryers, ranges, refrigerators from General Electric, Westinghouse, Maytag, Magic Chef and more Vacuums from Hoover, Regina, Eureka and other top makers Some one-of-a-kind; some discontinued models; some as-is, some reduced from regular stock; all mechanically perfect FAMOUS-NAME TELEVISION, RADIOS, STEREO ON SALE NOW $66 to $799 Color and black-and-white television by Zenith, RCA General Electric, Sylvania, Magnavox and more Stereo hi-fi system consoles Some one-of-a-kind, some discontinued models, some reduced from regular stock Fantastic valuesãdont miss this event! A SELECT GROUP OF LUXURY BROADLOOM REMNANTS FROM FAMOUS MAKERS SALE $60 Here are just some of the great buys you'll find: Quantities limited and subject to prior sale. $9 delivery charge within UPS area.SiteColorPile descriptionSiteColorPile description12-21Gold/RustDacronÂ Polyester Shag12x16-6Snow WhileDacronÂ Polyester Shag12x21GoldSmooth Nylon Velvet12/16AvocadoNylon Hi-Low LoopI2>2IGoldNylon Shag12x16RustNylon Level Loop12,21Blue/GreenNylon Texture12x15SapphireKodeÂ Polyester Shaa12x19WedgwoodWool Velvet12x15RustAcrilanÂ Acrylic Tip Shear12x18ChocolateNylon Plushy Shag12x15GoldNylon Shag12x18RustNylon Shag12x15Rust TonesNylon Shag12x18PlumKodeÂ Polyester Shag10-6x15BlueNylon Heavy Texture Wool Random Shear12x17-SGiecnDacronÂ Polyester Shag8- 10x14-9 Avocado12x17LilacDacronÂ Polyester Shag12x11-9Persian GoldFamous Maker Wool PlushTRADITIONAL SOFAS, NOW $182 to $222 OFF REGULAR PRICES SALE $147 to $177 Regularly $329 to $399 Hand tufted styles and loose pillowback sofas to choose from 73"" to 93"" sizes, all with sag-resistant construction A great choice of beautiful velvets and quilts All with zippered cushions. All with ZepelÂ stain and dirt resistant fabrics SALE OF SEALY MATTRESSES AND BOXSPRINGS, LIMITED QUANTITIES, HURRY! SALE $48 39x75' twin size mattress or boxspring Scalys famous quality construction mattress with hundreds of steel coils for firm support Quilted to %"" polyurethane foam for long wear Prebuilt borders to help prevent sagging Covered with a beautiful floral print ticking. Available in full size, 54x75""Sale $58 JUST 40, THREE-POSITION RECHNERS, $52 to $100 OFF REGULAR PRICES SALE $48 to $99 Regularly 99.99 la $199 Recliners by the makers you look for, like Burris, StratoloungerÂ and more All upholstered in durable easy-to-clean expanded vinyl, stain resistant velvets and HerculonÂ olefin MACVS LONG ISLAND WAREHOUSES  ",1973,1
"Peter Piper picked a Peck of Picked Peridots Leo the Lion: here he comes in all his glory. Rouf, rouf! Everyone knows Leo-people are something: lucky, radiant, willing, generous, magnetic ...Rouf! And in August, Leo-people have for their Natal Stone that unusual green gem Peridot, celebrated from Antiquity. (We say Peri-dot! not Peri- doe.) Long before 1500 B.C. it was coming from the Red Sea island of Zebirget. The Romans loved it, favored it as a charm against terror and melancholy. In the Middle Ages it was a talisman against the Evil Eye. In recent times Peridot has been found in meteorites. An interesting gem mineral. Small yellow-green Peridots are not rare; many appear in volcanic rocks in our own Southwest. However, large Peridots of the finest clear olive-green color are scarce. Cut brilliantly, the large ones are so appealing they have been termed evening emerald. Greatly favored in Victorian jewelry, Peridot is coming back.t Fortunately, J'.T., recently globe-trotting in Burma, came upon a find of Peridots of superb quality. I take all! And our Chief Lapidary, with Old Eagle-Eye over his shoulder, has lovingly cut them into brilliant gems. We recommend these highly for unusual rings, and especially, for brooches, necklaces, earrings, and even tie-tacks and cuff-links. Advice to the wise: Pick a Peridot this month before our supply of these Burma beauties disappears! Peridot Tie-tacks in 14 kt. gold-a Leo special, only $35.00 to $45.00 Peridot Cuff-links in 14 kt. gold-a Leo special, only $150.00 to $500.00. Peridot Necklaces (very charming)-a Leo special, only $39.00 and $49.00 Peridot Brooches in 14 kt. gold-a Leo special, only $250.00 to $500.00 Peridot Rings in 14 kt. gold.-a Leo special, only $95.00 to $5000.00. We have been hoarding a few quite large Peridots for magnificent brooches that should be made to your order. Only $20.00 to $70.00 per carat (quite reasonable for this fine quality) and really the stuff of heirlooms. Treat yourself! Who deserves better? Rouf! Come on, you Leo-people, rouf! Worlds Largest Gallery of Gems& Minerals Astro minerals gallery of gems  ",1973,1
It's Time To Make Your Student A Computer WIZ IBM Aptiva Computer with 75 MHz Pentium processor and IBM SVGA momitor $79 $2299.92  MACINTISH PERFORMA WITH POWER PC 601-80MHz PROCESSOR AND APPLE MONITOR $64 $1899.98  PACKARD BELL MULTIMEDIA COMPUTER WITH 76 MHz PENTIUM PROCESSOR AND PACKARD BELL SVGA MONITOR $60 $1799.96  LEXMARK  HOT BUY Hi Resolution Color Inkjet Printer $25 $249.98  HP NEW LOW PRICE Hi Quality Color Inkjet Printer $25 $379.98  IOMEGA 480 Mb Internal Tape Backup $99.98  Creative MediaBlaster Internal FaxModem $99.98  Toshiba NEW LOW PRICE Dual Scan Color Sattelite Notebook $67 $1999.98  Casio NEW Amazing Camera Lets you view photos instantly on its color LCD screen $30 $899.98   ,1995,1
"Last Day Our Semi-Annual SALE OF MATTRESSES And BROADLOOM Stearns & Foster Mattresses Quality Innerspring Comfort each only 66.00 At this low special purchase price, choose: «Twin standard length «Twin 80"" length «Three-quarter (148"") standard length At this low price, choose these styles: «Super Firm, tufted, woven cover «Luxury Extra Firm, quilted, cotton print cover «Super Firm, smooth surface, rubberized hair pad, rayon damask cover «Medium Firm, quilted cotton print cover «Extra Firm Plus, quilted rayon damask cover. Everyone has cotton felt upholstery and MarveluxÂ foam top and bottom surfaces. «Matching Weight BalancedÂ box spring, each only 66.00 Also available at important savings: «Full size, mattress or box spring, each only 86.00 «Queen size 60x80"", 2-pc. set, only 216.00 «King size 77x80, 3-pc. set, only 296.00.  Plush Velvet Broadloomthis stock onlysq. yd. installed 11.00 if full rolls would be sq. yd. installed 13.75  A special purchase of ""short rolls"" of this top-quality carpeting from one of our fine mills enables us to offer this unusual saving. Deep, densely-woven, with a smooth/ rich surface, of acrylicpilethat looks beautiful, wears and wears, is easy to maintain, on all surfaces including stairs. You can see the luxurious quality in the subtle shadings. Choose from 8 great colors; Aztec gold, Spanish rust, Spring moss, Oriental jade, Shantung beige, Imperial ruby, Alpine blue, and Meadow green. 12 wide. Also available in bound-a-around room size rugs:  If full rollsSpecial would bepurchaseSave  12x9'134.101.00  33.00 12x10.6'155. 116.50  38.50 12x12'176.132.00 44.00 12x13.6'197. 147.50  49.50 12x15'218. 163.00  55.00 B.Altman&Co ",1974,1
EXECUTIVE PHOTO & COMPUTERS WHERE FAIR DEALS AND HONEST SERVICE ARE JUST TWO OF THE REASONS TO CHOOSE US DESKTOP COMPATIBLES PACKARD BELL 386 SX $1029.00 EXECUTIVE 386 NUMBER CRUNCHER $1235.00 EVEREX TEMPO M 486 DX 33 $1999.00 IMI PS PRO 386 SX $699.99 MAGETRONK3_386 SX/25 MHZ $1034.95 EXECUTIVE 486 DX 33 MHZ $1379.95 SHARP CDR-3S W/INTERFACE EXTERNAL CD ROM FEEDER $534.95 OFFICE EQUIPMENT FAX MACHINES DICTATION MACHINES NOTEBOOKS PRINTERS EPSON HEWLETTE PACKARD OKIDATA PANASONIC NOTEBOOK PRINTERS PRINTER SALE HARDWARE POCKET ELECTRONIC ORGANIZERS SHARP WORD PROCESSORS & TYPEWRITERS SMITH CORONA CAMERA AUTO FOCUS COMPACT OLYMPUS CANNONPENTAXFUJILEICAYASHICA/CONTAX MINOLTA ,1992,1
"Timberland SALE Harrys Shoes For Men, Women & Children Reg. $66 to $160 Save $5 to $20 per pair ",1987,1
CLEARENCE SALE  Pressure proof to 330 ft. For Him: automatic chronograph with tachymeter Day/date/calendar Was 450 now 159.95 For her: automatic * quartz * Screw-down crown Was 225 now 100.00 LEDERER  ,1984,1
"BONWIT TELLER FINAL CLEARANCE ONE WEEK ONLY 1/2 AND MORE OFF our original prices in nearly every department ALL VALENTINO PIU NOW 1/2 OFF our original prices Those splendid accompaniments to fine living, all at gracious savings. Valentino Piu, Seventh Floor OUR MEN'S CLEARANCE IS TOO GOOD TO STOP! FURNISHINGS AND SPORTSWEAR NOW 1/2 OFF Just two more weeks to go! Shirts, ties, t-shirts and much more. At unexpected savings. Even on the finest designer names! Men's Furnishings and Sportswear, First Floor, 57th Street Wing BONWIT TELLER ",1978,1
"PCensational Values! Save $680 With the purchase of any IBM PC-XT: FREE IBM COLOR MONITOR  (OR QUADCHROME) Save $529 With the purchase of any IBM PC: FREE A SECOND DISK DRIVE COMPAQ TWIN DRIVE, 256K For a Limited Time Only! $2395 reg. $2995 OUR TRAINED SALES STAFF WILL HELP YOU CREATE THE  IBM PC or PC-XT ComputerLand ",1984,1
EXEL Computer & Software Packard-Bell MILTI-MEDIA 485 DX2 55MHz 420MB Multimedia $895 Pentium 60MHz 420MB Multimedia $1195 Pentium 75MHz 850MB Multimedia $1395 Pentium 100MHz 1.0GB Multimedia $1695  IBM ThinkPad 355cs 486 33MHz 170MB HD w/FaxModem $1245 ThinkPad 360C 486 33MHz 340MB HD Active Matrix Color $1595 ThinkPad 701C DX2 50MHz 360MB 10.4 Active Color Display $3195 ThinkPad 755CX PENTIUM 75MHz 540MB HD 10.4 Active Matrix Color Display $4395   755CD540MB $5295  TOSHIBA NoteBook Computers Satellite T2100  9.5 STN MONO DISPLAY 486 DX2 50MHz 250MB HD $1095 Satellite T2150 CDS 500MB built in CD ROM  10.4 Color Display $2545   Active Matrix T2150CDT $3595 Satellite T2110CD Color Notebook 486 DX4 75MHz 330MB HD 10.4 Color Display $1895  T2130CS $2345 T21130CT $2945 Portage 610CT 9.5 active Matrix Pentium 95MHz $4295  COMPAQ CONTURA AERO 4/25 170MB MONO $595 4/33C 170MB COLOR $845 LTE ELITE 7/75CX 510MB Active Matrix Color Display $2995 TravelMate 5000 Pentium 75MHz 772MB HDD 10.4 active Color Display $4295  Hewlett Packard DeskJet 650C Color Inkjet Printer $365 LaserJet 4L Laser Printer $445  Pinnacle Micro TAHOE 230MB Portable Optical Drive w/scsi Interface $695 Canon BJC-70 Portable Color Bubble Jet Printer $345 ,1995,1
"All Tennis Racquets, Shoes, Bags, And Apparel Now On Sale.**  Genesis IDS 660 and Atlantis IDS 660...by Head? Both racquets feature a symmetrically designed Double Power Wedge for an enlarged sweetspot. Integrated Racquet Design reduces weight by 15% for increased maneuverability. 32mm Genesis IDS designed for ultimate power; 30mm Atlantis ID designed for control and touch. Pictured: Genesis IDS 660-Grip Sizes V4-45/8 Strung with coverOriginally $250.00 ........Sale $89.99* Not shown: Atlantis IDS 660-Grip Sizes 41/8-4% Strung with coverOriginally $199.99Safe $79.99* PARAGON SPORTING GOODS NEW YORK'S FINEST SPORTS SPECIALTY STORE  867 Broadway at 18th St., N.Y.C. 10003 (212)255-8036 Visa/ Diners/Discover/MC/AE/Optima Hrs. Mon.-Sat. 10-8 Sun. 11-6:30 Mail and Phone Orders Accepted. ""intermediate Markdowns May Have Been Taken. ?? All Sale Items Arc Tennis Related; Ralph Lauren/Polo'Excluded. ",1995,1
"FURNITURE  ENAMELED FURNITURE.- The subscribers invite the attention of those about furnishing with this elegant and fashionable style of furniture, to their stock on hand, which, for durability and excellence of finish, cannot be surpassed. Chamber suites from $25 to $150. Suites made and finished in any style the purchaser may wish. Dealers, shippers, and the trade in general, supplied on the most liberal terms. Factory and sales-room, No. 62 White-st, three doors west of Broadway.WARWICK & TURNER  NOTICE.- Feathers, beds, mattresses and palliasse. The well known proprietor of the old-established Feather sTore and Mattress Factory, No. 358 Grand st., begs leave to call the attention of his patrons, the housekeepers in the City and country, to the new and extensive assortment of Spring goods now on hand, which he offers for sale as low as any house in the City. W. CRAWBUCK, No. 358 Grand-st, second door east of Essex-st.  SCHOOL FURNITURE.- The subscriber invites the attention of Committees, Teachers and others, to his improved desks and chairs; also, Teacher's desks and chairs, tables, chairs with book-baskets attached for infant scholars, book-cases, draft boards, &c., at is Factory, No. 24 Grove-st., where he is constantly manufacturing the above articles. R. PATON ",1853,0
"TO SHEET-METAL WORKERS-NOTICE. One of the must valuable and useful intent that has been granted within the last time has been awarded to W. B. WEBSTER for a novel and invaluable machine for making from 5.000 to 18,000 feet of any kind) SLEET METAL TURING per day. This machine is now being exhibited. WILLIAM WESTER, CHARLES MILLER.  LEASE GOOD WILL STOCK AND FIXTURES FOR SALE CHEAP FOR CASH-Of a store in which the clothing and fancy business is carried on it present. It is situated in one of the best business streets in the City. The tense has five years to run since the 1st of last May.  L. ROURNE  WHIG NEWSPAPER FOR SALE-A Weekly Whig newspaper in one of the most beautiful and prosperous towns in Western New-York, is offered for sale. It has a good carination and a large share of cash job work and advertising patronage. A practical printer might find it a choice opportunity, as the owner v ants but little cash, and sells. Apply to S. M. PETTINGILL & CO   TO MERCHANT TAILORS _ STORE TO LET AND FIXTURES FOR SALEãLocated in the city of Brooklin, a capital stand for a merchant tailor it being and established stand. The present occupant retire in consequence of ill health. To a good tenant terms reasonable.    ",1854,0
"AT RETAIL. It is Whispered to the Million That TUCKERS BRIDAL APPOINTMENTS Are Perpetoal. TUCKERS BRIDAL VEIL Is a Pretty Simple Adornment TUCKERS SPRING FLOWERS Are Gathering. TUCKERS BUDS, AT 50 CENTS PER CROSS, Are Buds of Promice. His ROSES are in full Bloom. TUCKERS MISCELLANEOUS STOCK for the Toilet is extensive, popular and attractive. ",1859,0
"MILLINERY GOODS Are now prepared to exhibit their Spring importation of French Millinery Goods, consisting of  RIBBONS, PLAN AND FANCY SILKS, LACES, CRAPES, FLOWERS, STRAW BONNETS, &c Also, a large assortment of Mourning Goods, as Black English Capes, of a superior manufacture, Mourning Ribbons, Lisses, Flowers, &c  ",1859,0
"Furniture The polar refrigerator is the best preserver of meats, fruit, &c., in use. Call and see or send for circular. Enameled Chamber Suits of furniture, in all colors and styles, at wholesale and retail. First-class enameled furniture. Plain decorated and grained. Solid walnut and oak sets. Mattresses, beds. ",1861,0
"New publications In ordering any of the following GAMES, please specify those published oy the undersigned. Which arc the most popular and salable games published. They are put up in neat boxes, with attractive label on the covers. THE NEW GAME OK AUTHORS. Price 50 cents. GAME OF FAMILIAR QUOTATIONS. Price 50 cents. GAME OF RED, WHITE AND BLUE, Price 60 Ceuta. GAME OF GREAT EVENTS. Price 50 cents. GAME OF BATTLES NORTH AND SOUTH.  Price 50 cents. A MOST ATTRACTIVE ASSORTMENT OF NEW GOODS FOR THE TRADE just received direct from Europe. BRONZE GROUPS and FIGURES classical design NEW STYLES of BRONZE and MARBLE CL0CKS PARIAN STATUARY, from the most artistic manufacturers. NEW SHAPES OF FRENCH CHINA DINNER and TEA SETS. RICH CUT and ENGRAVED GLASSWARE, new patterns from the London Exhibition ALSO, Our usual FINE ASSORTMENT of CHANDELIERS, SILVER and PLATED WARE HALF DOZZN FREE BY MAIL FOR $1.25 BEAUTIFUL CHASED METAL FRAMES. For Card Photographs to hang up or stand up. We call them the IMPROVED AMERICAN CARTE PORTE."" For sale by all Booksellers. Frame-dealers or Fancys goods men. CABINET FURNITURE WAREROOMS The largest assortment of rich and plain furniture in the City, made of the very best well-seasoned and selected material, by the best workmen in the country, under the immediate supervision of the firm, whose reputation for excellence of manufacture has been established 79 years. Also, a superior assortment of cottage furniture. Goods packed and shipped to all parts of the world  CABINET FURNITURE AT MANUFACTURERS PRICES. $100,000 WORTH OF FIRST-CLASS FURNITURE. In consequence of the falling off in our whole business, we offer our own manufactured goods to the public at the lowest prices. Consisting of Parlor, Library, Dining and Bedroom, suites made of selected material, and in the latest fashionable styles. Ail goods warranted. PLEASE examine our goods before purchasing elsewhere. Gentlemens scarf pins, new styles. From 1 to 25 dollars each. Ear-rings and pins, new styles. From 2 to 8 dollars a set.   ",1863,0
"STATIONERY. The BEST AND CHEAPEST INKS ãKeys National Writing Fluid and American Union Ink. No sediment; flow freely and do not corrode. Sold by the trade generally. Manufacture REEVES & Co., successor to J. G. Keys. ",1866,0
"Herrings Patent Champion Fire-proof Safes, and Herrings now Patent Burglar-proof Safes, with Herring & Floyds Patent Crystallized Ironãthe only material which cannot be drilled.  ",1866,0
The Wilson Shuttle Sewing-Machine. _ The best and cheapest first _ class machines in the world. Price from $45 to $100. Sales room 707 Broadway. ,1871,0
